,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
167169,31-01-2017 06:13,31-01-2017 06:18,275.217,M St & Delaware Ave NE,Columbus Circle / Union Station,Subscriber
628507,29-03-2017 17:46,29-03-2017 18:03,1020.29,18th & R St NW,Lincoln Memorial,Subscriber
1113701,10-05-2017 06:17,10-05-2017 06:27,618.191,4th & M St SW,8th & D St NW,Subscriber
766040,11-04-2017 04:37,11-04-2017 04:53,945.893,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1669143,25-06-2017 03:37,25-06-2017 03:51,863.318,4th St & Madison Dr NW,11th & O St NW,Customer
277185,15-02-2017 15:44,15-02-2017 15:54,581.881,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Maryland Ave & E St NE,Subscriber
1072603,06-05-2017 08:45,06-05-2017 09:19,2063.165,New Hampshire Ave & 24th St NW,11th & Kenyon St NW,Subscriber
648459,01-04-2017 02:53,01-04-2017 03:00,416.44,Thomas Circle,21st St & Pennsylvania Ave NW,Subscriber
1205211,19-05-2017 01:04,19-05-2017 01:20,930.982,17th St & Independence Ave SW,Lincoln Memorial,Customer
1094321,08-05-2017 10:03,08-05-2017 10:20,1056.149,Georgia & New Hampshire Ave NW,14th & R St NW,Subscriber
1402515,04-06-2017 09:16,04-06-2017 09:36,1171.22,Columbia & Ontario Rd NW,US Dept of State / Virginia Ave & 21st St NW,Customer
1370769,02-06-2017 05:40,02-06-2017 05:49,562.232,Reston Town Center Transit Station,Reston Station,Subscriber
531154,20-03-2017 09:25,20-03-2017 10:04,2302.829,22nd & P ST NW,16th & Irving St NW,Customer
106485,21-01-2017 10:25,21-01-2017 11:04,2324.446,16th & Irving St NW,10th St & L'Enfant Plaza SW,Subscriber
1200958,18-05-2017 08:09,18-05-2017 08:21,714.824,Ward Circle / American University,Connecticut & Nebraska Ave NW,Subscriber
1315995,28-05-2017 11:57,29-05-2017 12:09,730.26,8th & F St NW,22nd & P ST NW,Subscriber
288547,17-02-2017 09:04,17-02-2017 09:25,1270.063,3rd & G St SE,New York Ave & 15th St NW,Customer
1279221,25-05-2017 08:05,25-05-2017 08:13,465.503,Braddock Rd Metro,Madison & Fairfax St,Customer
932497,24-04-2017 06:17,24-04-2017 06:29,728.794,21st St & Pennsylvania Ave NW,5th & K St NW,Subscriber
437852,06-03-2017 11:12,06-03-2017 11:17,273.319,Eastern Market Metro / Pennsylvania Ave & 7th St SE,3rd & G St SE,Subscriber
976590,28-04-2017 06:37,28-04-2017 07:26,2897.122,3rd St & Pennsylvania Ave SE,20th & E St NW,Customer
1260800,23-05-2017 09:01,23-05-2017 09:07,348.64,S Joyce & 16th St S,Crystal City Metro / 18th & Bell St,Subscriber
200497,04-02-2017 16:26,04-02-2017 16:38,717.812,14th St Heights / 14th & Crittenden St NW,Park Rd & Holmead Pl NW,Subscriber
541331,21-03-2017 10:29,21-03-2017 10:40,683.66,24th & N St NW,14th & Rhode Island Ave NW,Subscriber
1718497,28-06-2017 08:14,28-06-2017 08:21,464.512,10th & G St NW,15th & K St NW,Customer
1269763,24-05-2017 07:31,24-05-2017 07:47,961.29,Lincoln Park / 13th & East Capitol St NE ,Independence Ave & L'Enfant Plaza SW/DOE,Subscriber
897971,20-04-2017 07:49,20-04-2017 07:54,335.506,New Hampshire Ave & T St NW,24th & N St NW,Subscriber
