,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1500646,12-06-2017 03:44,12-06-2017 03:55,705.572,16th & Harvard St NW,Rhode Island & Connecticut Ave NW,Subscriber
68299,14-01-2017 17:44,14-01-2017 17:51,452.614,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,Subscriber
1397058,04-06-2017 03:27,04-06-2017 03:39,682.028,34th & Water St NW,Massachusetts Ave & Dupont Circle NW,Subscriber
66196,13-01-2017 20:01,13-01-2017 20:11,585.038,Massachusetts Ave & Dupont Circle NW,New Hampshire Ave & 24th St NW,Subscriber
352712,23-02-2017 16:48,23-02-2017 17:10,1291.718,16th & Irving St NW,12th & Newton St NE,Subscriber
1177154,16-05-2017 09:08,16-05-2017 09:36,1664.581,14th & R St NW,2nd & G St NE,Subscriber
1546153,15-06-2017 08:07,15-06-2017 08:19,685.422,14th & D St NW / Ronald Reagan Building,24th & N St NW,Subscriber
225664,07-02-2017 23:16,07-02-2017 23:19,179.862,Adams Mill & Columbia Rd NW,15th & Euclid St  NW,Subscriber
772205,11-04-2017 07:51,11-04-2017 08:11,1230.014,22nd & I St NW / Foggy Bottom,Calvert St & Woodley Pl NW,Customer
1129644,12-05-2017 08:15,12-05-2017 08:21,394.823,14th & Rhode Island Ave NW,12th & U St NW,Subscriber
370206,24-02-2017 22:42,24-02-2017 22:52,614.757,7th & T St NW,8th & H St NW,Subscriber
887755,19-04-2017 09:47,19-04-2017 09:52,288.025,3rd & H St NE,D St & Maryland Ave NE,Subscriber
492123,13-03-2017 08:04,13-03-2017 08:10,356.103,N Rhodes & 16th St N,Lynn & 19th St North,Subscriber
860942,17-04-2017 08:00,17-04-2017 08:11,650.36,14th & Irving St NW,17th & K St NW,Subscriber
25911,06-01-2017 15:16,06-01-2017 15:25,511.971,19th & G St NW,24th & N St NW,Subscriber
1442236,07-06-2017 09:42,07-06-2017 09:54,727.015,13th St & New York Ave NW,1st & M St NE,Subscriber
597953,27-03-2017 06:18,27-03-2017 06:26,529.89,North Capitol St & F St NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Subscriber
1618407,21-06-2017 07:16,21-06-2017 07:24,482.173,8th & O St NW,3rd & Elm St NW,Subscriber
517668,18-03-2017 13:12,18-03-2017 13:25,778.889,37th & O St NW / Georgetown University,34th St & Wisconsin Ave NW,Customer
1106172,09-05-2017 09:30,09-05-2017 09:41,659.339,14th & G St NW,11th & S St NW,Subscriber
1503113,12-06-2017 05:47,12-06-2017 05:50,228.728,1st & D St SE,1st & K St SE,Subscriber
1462729,09-06-2017 05:25,09-06-2017 05:48,1412.776,Jefferson Memorial,Columbia Pike & S Orme St,Subscriber
353266,23-02-2017 17:13,23-02-2017 17:24,677.397,Maryland & Independence Ave SW,Columbus Circle / Union Station,Subscriber
916109,22-04-2017 02:24,22-04-2017 02:31,409.163,Saint Asaph & Madison St,Potomac Greens Dr & Slaters Ln,Subscriber
